"District","Population(2020 est.)","Population(2011)","Percentage"
"North West","4,168,454","3,656,539","21.78"
"North","1,012,295","887,978","5.29"
"North East","2,555,451","2,241,624","13.35"
"East","1,948,654","1,709,346","10.18"
"New Delhi","161,885","142,004","0.85"
"Central","663,845","582,320","3.47"
"West","2,899,297","2,543,243","15.15"
"South West","2,613,972","2,292,958","13.66"
"South","3,114,399","2,731,929","16.27"
